queue,second,cpus
archiving,1682316000,1
standard,1682316000,5420
compbio,1682316000,46
interactive,1682316000,10
priority,1682316000,62
large_mem,1682316000,123
cryoem,1682316000,762
compbio_auto,1682316000,115
gpu,1682316000,432
compbio,1682317000,46
cryoem,1682317000,762
interactive,1682317000,10
cryo_core,1682317000,48
archiving,1682317000,1
gpu,1682317000,432
compbio_auto,1682317000,115
standard,1682317000,5423
superdome,1682317000,32
priority,1682317000,82
large_mem,1682317000,123
cryoem,1682318000,762
large_mem,1682318000,123
compbio,1682318000,46
interactive,1682318000,9
standard,1682318000,5392
compbio_auto,1682318000,118
archiving,1682318000,1
superdome,1682318000,32
cryo_core,1682318000,48
gpu,1682318000,432
priority,1682318000,67
compbio,1682319000,46
compbio_auto,1682319000,115
superdome,1682319000,32
archiving,1682319000,1
priority,1682319000,65
standard,1682319000,5415
large_mem,1682319000,123
cryoem,1682319000,698
gpu,1682319000,432
interactive,1682319000,9
cryo_core,1682319000,48
archiving,1682320000,1
large_mem,1682320000,123
compbio,1682320000,46
standard,1682320000,5385
cryoem,1682320000,698
gpu,1682320000,431
priority,1682320000,61
superdome,1682320000,32
interactive,1682320000,5
cryo_core,1682320000,48
compbio_auto,1682320000,115
priority,1682321000,68
superdome,1682321000,32
interactive,1682321000,5
large_mem,1682321000,123
gpu,1682321000,431
compbio_auto,1682321000,116
compbio,1682321000,46
archiving,1682321000,1
standard,1682321000,5462
cryo_core,1682321000,48
cryoem,1682321000,690
priority,1682322000,66
compbio,1682322000,46
superdome,1682322000,32
large_mem,1682322000,123
standard,1682322000,5438
cryoem,1682322000,682
gpu,1682322000,431
interactive,1682322000,5
archiving,1682322000,1
compbio_auto,1682322000,115
cryo_core,1682322000,48
gpu,1682323000,431
priority,1682323000,63
compbio_auto,1682323000,114
interactive,1682323000,5
cryoem,1682323000,682
archiving,1682323000,1
standard,1682323000,5386
compbio,1682323000,46
large_mem,1682323000,123
cryo_core,1682323000,48
superdome,1682323000,32
cryoem,1682324000,682
priority,1682324000,57
compbio,1682324000,46
standard,1682324000,5362
cryo_core,1682324000,48
large_mem,1682324000,123
gpu,1682324000,447
archiving,1682324000,1
superdome,1682324000,32
compbio_auto,1682324000,115
interactive,1682324000,5
cryo_core,1682325000,48
priority,1682325000,62
archiving,1682325000,1
interactive,1682325000,5
cryoem,1682325000,682
large_mem,1682325000,123
compbio_auto,1682325000,115
compbio,1682325000,46
superdome,1682325000,32
standard,1682325000,5362
gpu,1682325000,463
priority,1682326000,55
cryoem,1682326000,682
large_mem,1682326000,123
archiving,1682326000,1
superdome,1682326000,32
standard,1682326000,5362
compbio_auto,1682326000,113
compbio,1682326000,46
cryo_core,1682326000,48
gpu,1682326000,447
interactive,1682326000,6
interactive,1682327000,6
cryoem,1682327000,682
compbio,1682327000,96
archiving,1682327000,1
gpu,1682327000,447
large_mem,1682327000,123
cryo_core,1682327000,48
standard,1682327000,5390
superdome,1682327000,32
compbio_auto,1682327000,113
priority,1682327000,55
cryoem,1682328000,554
gpu,1682328000,447
superdome,1682328000,32
standard,1682328000,5365
large_mem,1682328000,123
compbio,1682328000,321
priority,1682328000,61
archiving,1682328000,1
compbio_auto,1682328000,113
cryo_core,1682328000,48
interactive,1682328000,6
superdome,1682329000,32
compbio_auto,1682329000,113
priority,1682329000,55
gpu,1682329000,447
standard,1682329000,5365
cryoem,1682329000,554
large_mem,1682329000,123
compbio,1682329000,260
interactive,1682329000,6
cryo_core,1682329000,48
archiving,1682329000,1
standard,1682330000,5375
interactive,1682330000,6
cryo_core,1682330000,48
compbio_auto,1682330000,113
compbio,1682330000,692
gpu,1682330000,447
superdome,1682330000,32
priority,1682330000,59
large_mem,1682330000,123
archiving,1682330000,1
cryoem,1682330000,554
superdome,1682331000,32
interactive,1682331000,6
compbio,1682331000,600
cryo_core,1682331000,48
compbio_auto,1682331000,113
large_mem,1682331000,123
priority,1682331000,55
standard,1682331000,5369
cryoem,1682331000,554
archiving,1682331000,1
gpu,1682331000,367
superdome,1682332000,32
compbio_auto,1682332000,113
archiving,1682332000,1
interactive,1682332000,6
gpu,1682332000,367
priority,1682332000,54
compbio,1682332000,460
large_mem,1682332000,123
standard,1682332000,5367
cryoem,1682332000,554
cryo_core,1682332000,48
large_mem,1682333000,123
archiving,1682333000,1
interactive,1682333000,8
superdome,1682333000,32
compbio_auto,1682333000,112
cryo_core,1682333000,48
cryoem,1682333000,554
compbio,1682333000,380
gpu,1682333000,367
standard,1682333000,5367
priority,1682333000,54
priority,1682334000,51
gpu,1682334000,367
compbio_auto,1682334000,112
archiving,1682334000,1
large_mem,1682334000,123
cryo_core,1682334000,48
superdome,1682334000,32
standard,1682334000,5367
cryoem,1682334000,554
interactive,1682334000,7
compbio,1682334000,407
archiving,1682335000,1
large_mem,1682335000,123
priority,1682335000,52
superdome,1682335000,32
interactive,1682335000,6
cryo_core,1682335000,48
gpu,1682335000,367
standard,1682335000,5366
compbio_auto,1682335000,112
compbio,1682335000,475
cryoem,1682335000,554
compbio,1682336000,943
interactive,1682336000,6
priority,1682336000,64
gpu,1682336000,367
standard,1682336000,5366
archiving,1682336000,1
compbio_auto,1682336000,112
cryo_core,1682336000,48
cryoem,1682336000,554
superdome,1682336000,32
large_mem,1682336000,123
cryo_core,1682337000,48
compbio_auto,1682337000,112
superdome,1682337000,32
large_mem,1682337000,123
gpu,1682337000,367
archiving,1682337000,1
cryoem,1682337000,534
priority,1682337000,49
interactive,1682337000,6
standard,1682337000,5366
compbio,1682337000,1098
priority,1682338000,52
standard,1682338000,5362
interactive,1682338000,4
large_mem,1682338000,123
cryo_core,1682338000,48
compbio_auto,1682338000,112
gpu,1682338000,367
compbio,1682338000,821
cryoem,1682338000,534
superdome,1682338000,32
archiving,1682338000,1
compbio,1682339000,665
gpu,1682339000,367
archiving,1682339000,1
interactive,1682339000,4
priority,1682339000,46
compbio_auto,1682339000,111
standard,1682339000,5362
cryoem,1682339000,534
large_mem,1682339000,123
superdome,1682339000,32
cryo_core,1682339000,48
cryo_core,1682340000,48
standard,1682340000,13130
compbio,1682340000,444
interactive,1682340000,4
priority,1682340000,45
superdome,1682340000,32
archiving,1682340000,1
large_mem,1682340000,123
short,1682340000,1
gpu,1682340000,367
compbio_auto,1682340000,111
cryoem,1682340000,470
priority,1682341000,63
heavy_io,1682341000,1
cryo_core,1682341000,48
short,1682341000,1
compbio,1682341000,406
archiving,1682341000,1
large_mem,1682341000,123
gpu,1682341000,343
compbio_auto,1682341000,111
interactive,1682341000,4
superdome,1682341000,32
standard,1682341000,10218
cryoem,1682341000,490
priority,1682342000,445
gpu,1682342000,343
standard,1682342000,5999
cryo_core,1682342000,48
cryoem,1682342000,494
interactive,1682342000,5
archiving,1682342000,1
compbio,1682342000,70
compbio_auto,1682342000,111
superdome,1682342000,32
large_mem,1682342000,123
heavy_io,1682342000,2
gpu,1682343000,307
compbio,1682343000,682
large_mem,1682343000,124
cryoem,1682343000,474
heavy_io,1682343000,1
archiving,1682343000,1
priority,1682343000,306
compbio_auto,1682343000,111
cryo_core,1682343000,48
superdome,1682343000,32
standard,1682343000,5998
interactive,1682343000,5
compbio,1682344000,1028
large_mem,1682344000,124
archiving,1682344000,1
compbio_auto,1682344000,111
cryoem,1682344000,474
rhel8_test,1682344000,2
superdome,1682344000,32
standard,1682344000,6265
priority,1682344000,49
cryo_core,1682344000,48
interactive,1682344000,11
gpu,1682344000,331
cryo_core,1682345000,48
archiving,1682345000,1
interactive,1682345000,15
standard,1682345000,10344
compbio_auto,1682345000,110
compbio,1682345000,724
gpu,1682345000,307
priority,1682345000,59
cryoem,1682345000,474
superdome,1682345000,32
large_mem,1682345000,124
interactive,1682346000,17
cryoem,1682346000,494
standard,1682346000,10451
cryo_core,1682346000,48
compbio,1682346000,58
priority,1682346000,70
large_mem,1682346000,124
superdome,1682346000,32
gpu,1682346000,308
short,1682346000,1
archiving,1682346000,1
compbio_auto,1682346000,109
compbio,1682347000,118
large_mem,1682347000,132
interactive,1682347000,20
cryo_core,1682347000,48
cryoem,1682347000,518
priority,1682347000,79
compbio_auto,1682347000,109
archiving,1682347000,1
heavy_io,1682347000,1
gpu,1682347000,292
superdome,1682347000,32
short,1682347000,1
standard,1682347000,9890
cryo_core,1682348000,48
large_mem,1682348000,143
priority,1682348000,328
compbio,1682348000,1446
interactive,1682348000,23
cryoem,1682348000,508
archiving,1682348000,1
gpu,1682348000,308
superdome,1682348000,32
standard,1682348000,9443
compbio_auto,1682348000,109
cab_auto,1682349000,16
cryo_core,1682349000,48
short,1682349000,10
superdome,1682349000,32
standard,1682349000,8587
archiving,1682349000,1
interactive,1682349000,29
large_mem,1682349000,142
priority,1682349000,73
gpu,1682349000,364
compbio_auto,1682349000,109
compbio,1682349000,1605
cryoem,1682349000,506
cryo_core,1682350000,48
compbio_auto,1682350000,108
priority,1682350000,83
superdome,1682350000,32
gpu,1682350000,356
standard,1682350000,10377
large_mem,1682350000,140
archiving,1682350000,1
cab_auto,1682350000,64
cryoem,1682350000,504
short,1682350000,10
interactive,1682350000,32
compbio,1682350000,1040
priority,1682351000,86
standard,1682351000,8298
short,1682351000,10
compbio_auto,1682351000,106
cryoem,1682351000,556
cryo_core,1682351000,48
archiving,1682351000,1
gpu,1682351000,356
interactive,1682351000,36
cab_auto,1682351000,64
compbio,1682351000,918
superdome,1682351000,32
large_mem,1682351000,134
superdome,1682352000,32
archiving,1682352000,1
gpu,1682352000,356
cab_auto,1682352000,64
compbio_auto,1682352000,106
interactive,1682352000,38
compbio,1682352000,1170
large_mem,1682352000,117
short,1682352000,10
cryoem,1682352000,683
standard,1682352000,7842
cryo_core,1682352000,48
priority,1682352000,92
interactive,1682353000,44
short,1682353000,10
gpu,1682353000,356
archiving,1682353000,1
compbio,1682353000,883
standard,1682353000,13550
cab_auto,1682353000,64
cryo_core,1682353000,48
superdome,1682353000,32
cryoem,1682353000,668
large_mem,1682353000,115
priority,1682353000,69
compbio_auto,1682353000,106
cryoem,1682354000,668
interactive,1682354000,47
priority,1682354000,70
gpu,1682354000,380
compbio,1682354000,597
compbio_auto,1682354000,106
large_mem,1682354000,114
cryo_core,1682354000,48
superdome,1682354000,32
archiving,1682354000,1
standard,1682354000,11078
cab_auto,1682354000,64
short,1682354000,11
compbio_auto,1682355000,106
cryo_core,1682355000,48
priority,1682355000,118
standard,1682355000,13481
interactive,1682355000,45
superdome,1682355000,32
large_mem,1682355000,114
gpu,1682355000,380
cryoem,1682355000,661
short,1682355000,12
archiving,1682355000,1
rhel8_test,1682355000,22
cab_auto,1682355000,126
compbio,1682355000,1697
large_mem,1682356000,121
standard,1682356000,13596
priority,1682356000,112
superdome,1682356000,32
cab_auto,1682356000,109
short,1682356000,13
compbio,1682356000,1571
compbio_auto,1682356000,106
interactive,1682356000,48
cryo_core,1682356000,48
rhel8_test,1682356000,22
gpu,1682356000,356
archiving,1682356000,1
cryoem,1682356000,656
gpu,1682357000,388
short,1682357000,11
priority,1682357000,53
compbio,1682357000,1439
cryo_core,1682357000,48
standard,1682357000,9355
large_mem,1682357000,201
compbio_auto,1682357000,106
cryoem,1682357000,535
archiving,1682357000,1
superdome,1682357000,32
cab_auto,1682357000,52
rhel8_test,1682357000,22
interactive,1682357000,47
archiving,1682358000,1
interactive,1682358000,42
cryoem,1682358000,660
superdome,1682358000,32
priority,1682358000,93
cryo_core,1682358000,48
large_mem,1682358000,209
rhel8_test,1682358000,22
compbio_auto,1682358000,105
compbio,1682358000,1244
short,1682358000,21
cab_auto,1682358000,54
standard,1682358000,8033
gpu,1682358000,541
cryoem,1682359000,788
large_mem,1682359000,201
compbio_auto,1682359000,105
archiving,1682359000,1
cab_auto,1682359000,199
compbio,1682359000,1163
gpu,1682359000,557
short,1682359000,14
cryo_core,1682359000,48
interactive,1682359000,45
superdome,1682359000,32
rhel8_test,1682359000,22
standard,1682359000,7615
priority,1682359000,138
large_mem,1682360000,201
compbio_auto,1682360000,105
gpu,1682360000,582
interactive,1682360000,50
standard,1682360000,9046
compbio,1682360000,509
cryo_core,1682360000,48
cab_auto,1682360000,190
short,1682360000,13
rhel8_test,1682360000,22
archiving,1682360000,1
priority,1682360000,117
superdome,1682360000,32
cryoem,1682360000,831
short,1682361000,12
cryoem,1682361000,867
cryo_core,1682361000,48
compbio,1682361000,430
priority,1682361000,2337
standard,1682361000,7331
superdome,1682361000,32
archiving,1682361000,1
large_mem,1682361000,693
interactive,1682361000,53
rhel8_test,1682361000,22
gpu,1682361000,526
cab_auto,1682361000,379
compbio_auto,1682361000,104
archiving,1682362000,1
compbio_auto,1682362000,104
gpu,1682362000,1166
large_mem,1682362000,544
priority,1682362000,7687
rhel8_test,1682362000,22
interactive,1682362000,56
standard,1682362000,7171
cryo_core,1682362000,48
compbio,1682362000,210
superdome,1682362000,32
short,1682362000,11
cab_auto,1682362000,213
cryoem,1682362000,649
priority,1682363000,7837
large_mem,1682363000,431
rhel8_test,1682363000,22
compbio_auto,1682363000,103
cryo_core,1682363000,48
archiving,1682363000,1
standard,1682363000,6873
short,1682363000,10
gpu,1682363000,1317
cryoem,1682363000,591
interactive,1682363000,60
compbio,1682363000,132
cab_auto,1682363000,208
superdome,1682363000,33
compbio_auto,1682364000,844
cryoem,1682364000,722
gpu,1682364000,1174
large_mem,1682364000,356
cryo_core,1682364000,48
priority,1682364000,3124
short,1682364000,12
archiving,1682364000,1
standard,1682364000,10494
superdome,1682364000,33
rhel8_test,1682364000,22
compbio,1682364000,509
cab_auto,1682364000,192
interactive,1682364000,61
compbio,1682365000,999
archiving,1682365000,1
rhel8_test,1682365000,42
large_mem,1682365000,257
rhel8_test_gpu,1682365000,216
interactive,1682365000,64
gpu,1682365000,1399
cab_auto,1682365000,168
standard,1682365000,9649
cryo_core,1682365000,48
superdome,1682365000,33
cryoem,1682365000,811
short,1682365000,13
compbio_auto,1682365000,336
priority,1682365000,1629
cryo_core,1682366000,48
short,1682366000,12
cryoem,1682366000,793
rhel8_test,1682366000,22
gpu,1682366000,1173
compbio_auto,1682366000,364
compbio,1682366000,922
superdome,1682366000,33
cab_auto,1682366000,253
interactive,1682366000,65
archiving,1682366000,1
priority,1682366000,1646
standard,1682366000,7292
large_mem,1682366000,243
cryo_core,1682367000,48
standard,1682367000,9227
compbio_auto,1682367000,349
gpu,1682367000,1197
cab_auto,1682367000,284
archiving,1682367000,1
compbio,1682367000,826
superdome,1682367000,33
interactive,1682367000,69
short,1682367000,18
priority,1682367000,1419
rhel8_test,1682367000,22
large_mem,1682367000,209
cryoem,1682367000,684
compbio_auto,1682368000,262
standard,1682368000,8023
superdome,1682368000,33
cryoem,1682368000,782
cryo_core,1682368000,48
short,1682368000,18
compbio,1682368000,760
priority,1682368000,71
interactive,1682368000,69
gpu,1682368000,1197
large_mem,1682368000,143
archiving,1682368000,1
cab_auto,1682368000,256
superdome,1682369000,33
cab_auto,1682369000,232
cryo_core,1682369000,48
cryoem,1682369000,760
gpu,1682369000,1437
compbio,1682369000,1028
archiving,1682369000,1
priority,1682369000,1030
large_mem,1682369000,112
compbio_auto,1682369000,112
short,1682369000,13
standard,1682369000,7745
rhel8_test,1682369000,10
interactive,1682369000,68
compbio_auto,1682370000,106
superdome,1682370000,33
cab_auto,1682370000,224
archiving,1682370000,1
gpu,1682370000,1198
interactive,1682370000,66
cryoem,1682370000,718
large_mem,1682370000,109
compbio,1682370000,1055
priority,1682370000,875
cryo_core,1682370000,48
short,1682370000,11
standard,1682370000,10985
short,1682371000,13
standard,1682371000,9936
cab_auto,1682371000,217
gpu,1682371000,1198
priority,1682371000,1182
superdome,1682371000,33
compbio_auto,1682371000,106
interactive,1682371000,66
archiving,1682371000,1
cryo_core,1682371000,48
compbio,1682371000,1015
large_mem,1682371000,109
cryoem,1682371000,734
cryo_core,1682372000,48
short,1682372000,21
large_mem,1682372000,109
gpu,1682372000,1198
priority,1682372000,1355
compbio,1682372000,1077
archiving,1682372000,1
standard,1682372000,8781
superdome,1682372000,33
interactive,1682372000,67
cryoem,1682372000,798
compbio_auto,1682372000,103
cab_auto,1682372000,202
standard,1682373000,7202
compbio_auto,1682373000,103
archiving,1682373000,1
interactive,1682373000,69
cab_auto,1682373000,119
short,1682373000,15
compbio,1682373000,1121
large_mem,1682373000,109
superdome,1682373000,33
priority,1682373000,1458
cryo_core,1682373000,48
gpu,1682373000,1198
cryoem,1682373000,664
cab_auto,1682374000,96
large_mem,1682374000,109
gpu,1682374000,1198
superdome,1682374000,33
cryo_core,1682374000,48
priority,1682374000,920
archiving,1682374000,1
compbio_auto,1682374000,103
interactive,1682374000,68
short,1682374000,10
standard,1682374000,8286
compbio,1682374000,838
cryoem,1682374000,730
cab_auto,1682375000,96
compbio_auto,1682375000,102
superdome,1682375000,33
interactive,1682375000,65
short,1682375000,10
large_mem,1682375000,109
cryoem,1682375000,737
priority,1682375000,77
standard,1682375000,9214
archiving,1682375000,1
gpu,1682375000,1198
compbio,1682375000,865
cryo_core,1682375000,48
standard,1682376000,12546
large_mem,1682376000,110
cryo_core,1682376000,48
compbio_auto,1682376000,102
short,1682376000,11
cab_auto,1682376000,98
priority,1682376000,67
interactive,1682376000,62
gpu,1682376000,1222
cryoem,1682376000,865
superdome,1682376000,33
archiving,1682376000,1
compbio,1682376000,852
priority,1682377000,67
standard,1682377000,11412
compbio_auto,1682377000,102
interactive,1682377000,58
cab_auto,1682377000,96
archiving,1682377000,1
gpu,1682377000,1198
cryoem,1682377000,869
short,1682377000,11
cryo_core,1682377000,48
large_mem,1682377000,111
compbio,1682377000,917
superdome,1682377000,33
short,1682378000,12
gpu,1682378000,1222
priority,1682378000,63
standard,1682378000,13867
cryoem,1682378000,834
interactive,1682378000,57
compbio,1682378000,958
cryo_core,1682378000,48
superdome,1682378000,33
large_mem,1682378000,111
compbio_auto,1682378000,101
cab_auto,1682378000,96
archiving,1682378000,1
priority,1682379000,61
large_mem,1682379000,111
short,1682379000,12
compbio_auto,1682379000,100
cryoem,1682379000,798
cryo_core,1682379000,48
interactive,1682379000,53
superdome,1682379000,33
gpu,1682379000,1246
archiving,1682379000,1
cab_auto,1682379000,92
standard,1682379000,15151
compbio,1682379000,958
interactive,1682380000,50
cab_auto,1682380000,92
compbio_auto,1682380000,100
priority,1682380000,60
gpu,1682380000,1198
compbio,1682380000,890
archiving,1682380000,1
short,1682380000,12
cryo_core,1682380000,48
cryoem,1682380000,628
superdome,1682380000,33
large_mem,1682380000,111
standard,1682380000,14642
short,1682381000,14
cryo_core,1682381000,48
large_mem,1682381000,110
archiving,1682381000,1
standard,1682381000,14214
superdome,1682381000,32
compbio_auto,1682381000,100
interactive,1682381000,44
priority,1682381000,59
cab_auto,1682381000,88
cryoem,1682381000,542
gpu,1682381000,1270
compbio,1682381000,881
compbio_auto,1682382000,99
archiving,1682382000,1
large_mem,1682382000,109
cryoem,1682382000,582
cab_auto,1682382000,88
interactive,1682382000,45
gpu,1682382000,1222
cryo_core,1682382000,48
standard,1682382000,15156
priority,1682382000,59
short,1682382000,13
superdome,1682382000,32
compbio,1682382000,389
archiving,1682383000,1
gpu,1682383000,1270
priority,1682383000,63
short,1682383000,18
interactive,1682383000,45
compbio,1682383000,193
superdome,1682383000,32
cryo_core,1682383000,48
standard,1682383000,15349
cryoem,1682383000,602
cab_auto,1682383000,88
compbio_auto,1682383000,99
large_mem,1682383000,109
gpu,1682384000,1246
compbio_auto,1682384000,99
standard,1682384000,15631
large_mem,1682384000,113
compbio,1682384000,189
cab_auto,1682384000,80
priority,1682384000,61
cryo_core,1682384000,48
interactive,1682384000,44
archiving,1682384000,1
short,1682384000,16
superdome,1682384000,32
cryoem,1682384000,702
cryoem,1682385000,704
short,1682385000,16
standard,1682385000,16340
priority,1682385000,57
superdome,1682385000,32
cryo_core,1682385000,48
large_mem,1682385000,109
interactive,1682385000,45
archiving,1682385000,1
gpu,1682385000,1246
compbio,1682385000,158
compbio_auto,1682385000,98
cab_auto,1682385000,76
compbio,1682386000,164
short,1682386000,6
cab_auto,1682386000,72
gpu,1682386000,1269
standard,1682386000,12222
priority,1682386000,60
large_mem,1682386000,113
compbio_auto,1682386000,98
cryo_core,1682386000,48
archiving,1682386000,1
cryoem,1682386000,706
interactive,1682386000,44
superdome,1682386000,32
cab_auto,1682387000,76
superdome,1682387000,32
priority,1682387000,60
gpu,1682387000,1245
compbio,1682387000,161
rhel8_test,1682387000,1
large_mem,1682387000,136
standard,1682387000,17415
interactive,1682387000,44
cryo_core,1682387000,48
cryoem,1682387000,660
compbio_auto,1682387000,98
short,1682387000,7
archiving,1682387000,1
interactive,1682388000,44
standard,1682388000,14054
compbio,1682388000,181
short,1682388000,4
archiving,1682388000,1
superdome,1682388000,32
gpu,1682388000,1221
cryoem,1682388000,618
cab_auto,1682388000,64
rhel8_test,1682388000,2
priority,1682388000,58
cryo_core,1682388000,48
large_mem,1682388000,109
compbio_auto,1682388000,98
short,1682389000,5
standard,1682389000,11725
large_mem,1682389000,109
compbio,1682389000,194
archiving,1682389000,1
cryoem,1682389000,926
interactive,1682389000,44
compbio_auto,1682389000,97
gpu,1682389000,1221
cab_auto,1682389000,64
cryo_core,1682389000,48
superdome,1682389000,32
priority,1682389000,56
short,1682390000,5
interactive,1682390000,44
gpu,1682390000,1245
large_mem,1682390000,164
compbio_auto,1682390000,97
cryoem,1682390000,686
cryo_core,1682390000,48
archiving,1682390000,1
superdome,1682390000,32
standard,1682390000,13705
compbio,1682390000,145
priority,1682390000,53
cab_auto,1682390000,370
cryoem,1682391000,646
compbio,1682391000,141
priority,1682391000,52
cryo_core,1682391000,48
short,1682391000,4
compbio_auto,1682391000,96
gpu,1682391000,1221
archiving,1682391000,1
cab_auto,1682391000,269
standard,1682391000,15395
interactive,1682391000,43
large_mem,1682391000,109
superdome,1682391000,32
superdome,1682392000,32
priority,1682392000,52
compbio_auto,1682392000,96
large_mem,1682392000,109
archiving,1682392000,1
short,1682392000,5
cryoem,1682392000,702
interactive,1682392000,43
compbio,1682392000,154
standard,1682392000,13171
cryo_core,1682392000,48
gpu,1682392000,1245
cab_auto,1682392000,124
superdome,1682393000,32
compbio_auto,1682393000,96
cryo_core,1682393000,48
standard,1682393000,14814
cab_auto,1682393000,60
priority,1682393000,51
large_mem,1682393000,109
gpu,1682393000,1223
cryoem,1682393000,702
short,1682393000,4
archiving,1682393000,1
compbio,1682393000,172
interactive,1682393000,47
interactive,1682394000,44
compbio_auto,1682394000,96
priority,1682394000,52
cab_auto,1682394000,56
archiving,1682394000,1
standard,1682394000,14042
compbio,1682394000,162
short,1682394000,3
superdome,1682394000,32
gpu,1682394000,1221
cryoem,1682394000,662
cryo_core,1682394000,48
large_mem,1682394000,109
superdome,1682395000,32
cryoem,1682395000,658
interactive,1682395000,42
priority,1682395000,51
cryo_core,1682395000,48
short,1682395000,4
compbio_auto,1682395000,96
compbio,1682395000,169
archiving,1682395000,1
gpu,1682395000,1245
large_mem,1682395000,109
standard,1682395000,13079
cab_auto,1682395000,56
gpu,1682396000,1197
priority,1682396000,52
compbio_auto,1682396000,96
cryoem,1682396000,914
cab_auto,1682396000,56
interactive,1682396000,42
superdome,1682396000,32
archiving,1682396000,1
compbio,1682396000,311
large_mem,1682396000,109
short,1682396000,2
standard,1682396000,12436
cryo_core,1682396000,48
cab_auto,1682397000,56
cryo_core,1682397000,48
compbio,1682397000,277
large_mem,1682397000,109
interactive,1682397000,42
archiving,1682397000,1
superdome,1682397000,32
standard,1682397000,14001
cryoem,1682397000,874
compbio_auto,1682397000,96
gpu,1682397000,1245
priority,1682397000,50
short,1682397000,3
cryoem,1682398000,872
large_mem,1682398000,109
cryo_core,1682398000,48
archiving,1682398000,1
priority,1682398000,49
short,1682398000,4
interactive,1682398000,42
cab_auto,1682398000,56
compbio,1682398000,262
standard,1682398000,13183
superdome,1682398000,32
gpu,1682398000,1197
compbio_auto,1682398000,96
short,1682399000,5
cab_auto,1682399000,48
archiving,1682399000,1
compbio_auto,1682399000,96
gpu,1682399000,1269
compbio,1682399000,261
priority,1682399000,49
large_mem,1682399000,109
standard,1682399000,13877
cryoem,1682399000,800
interactive,1682399000,46
cryo_core,1682399000,48
superdome,1682399000,32
compbio_auto,1682400000,95
archiving,1682400000,1
short,1682400000,4
large_mem,1682400000,109
superdome,1682400000,32
cryo_core,1682400000,72
standard,1682400000,15508
cryoem,1682400000,752
compbio,1682400000,343
interactive,1682400000,45
gpu,1682400000,1221
cab_auto,1682400000,44
priority,1682400000,49
short,1682401000,4
archiving,1682401000,1
large_mem,1682401000,109
compbio_auto,1682401000,95
cryoem,1682401000,880
gpu,1682401000,1221
standard,1682401000,14073
cab_auto,1682401000,40
superdome,1682401000,32
compbio,1682401000,321
priority,1682401000,49
interactive,1682401000,45
cryo_core,1682401000,72
compbio,1682402000,334
compbio_auto,1682402000,95
cryoem,1682402000,742
cab_auto,1682402000,32
large_mem,1682402000,109
short,1682402000,3
interactive,1682402000,45
archiving,1682402000,1
standard,1682402000,11416
priority,1682402000,48
superdome,1682402000,32
gpu,1682402000,1196
cryo_core,1682402000,108
cryoem,1682403000,738
cryo_core,1682403000,84
interactive,1682403000,45
large_mem,1682403000,109
gpu,1682403000,1244
compbio_auto,1682403000,95
priority,1682403000,48
cab_auto,1682403000,28
superdome,1682403000,32
archiving,1682403000,1
compbio,1682403000,310
short,1682403000,5
standard,1682403000,10706
priority,1682404000,48
cryo_core,1682404000,84
compbio_auto,1682404000,95
superdome,1682404000,32
short,1682404000,4
standard,1682404000,13026
archiving,1682404000,1
large_mem,1682404000,109
cryoem,1682404000,606
compbio,1682404000,312
interactive,1682404000,41
gpu,1682404000,1220
cab_auto,1682404000,20
compbio_auto,1682405000,95
priority,1682405000,48
standard,1682405000,14416
short,1682405000,6
archiving,1682405000,1
superdome,1682405000,32
cryo_core,1682405000,84
cryoem,1682405000,608
compbio,1682405000,321
gpu,1682405000,1220
large_mem,1682405000,109
cab_auto,1682405000,12
interactive,1682405000,41
short,1682406000,4
cab_auto,1682406000,8
interactive,1682406000,41
large_mem,1682406000,109
cryo_core,1682406000,84
superdome,1682406000,32
standard,1682406000,10326
cryoem,1682406000,604
priority,1682406000,48
gpu,1682406000,1268
archiving,1682406000,1
compbio_auto,1682406000,96
compbio,1682406000,337
cab_auto,1682407000,8
interactive,1682407000,41
cryo_core,1682407000,84
compbio,1682407000,325
archiving,1682407000,1
standard,1682407000,8217
gpu,1682407000,1220
compbio_auto,1682407000,95
large_mem,1682407000,109
priority,1682407000,44
cryoem,1682407000,608
superdome,1682407000,32
short,1682407000,2
cryo_core,1682408000,84
cab_auto,1682408000,8
archiving,1682408000,1
short,1682408000,6
priority,1682408000,44
superdome,1682408000,32
large_mem,1682408000,109
interactive,1682408000,41
compbio_auto,1682408000,95
compbio,1682408000,320
gpu,1682408000,1268
cryoem,1682408000,596
standard,1682408000,11884
interactive,1682409000,41
cryo_core,1682409000,84
gpu,1682409000,1196
compbio_auto,1682409000,95
short,1682409000,2
large_mem,1682409000,109
standard,1682409000,12777
archiving,1682409000,1
compbio,1682409000,326
cryoem,1682409000,594
superdome,1682409000,32
cab_auto,1682409000,4
priority,1682409000,44
compbio,1682410000,314
cryo_core,1682410000,84
standard,1682410000,11190
superdome,1682410000,32
interactive,1682410000,41
large_mem,1682410000,109
compbio_auto,1682410000,95
cryoem,1682410000,470
priority,1682410000,44
gpu,1682410000,1268
cab_auto,1682410000,4
short,1682410000,4
archiving,1682410000,1
interactive,1682411000,41
cab_auto,1682411000,4
cryo_core,1682411000,84
archiving,1682411000,1
compbio_auto,1682411000,95
superdome,1682411000,32
gpu,1682411000,1196
cryoem,1682411000,472
priority,1682411000,44
compbio,1682411000,310
standard,1682411000,13254
large_mem,1682411000,109
short,1682411000,3
short,1682412000,5
