archiving,noderome245,noderome246
biostat_gpu_reserve,nodegpu212
cab_cpu,noderome238,noderome239,noderome240,noderome241,noderome242,noderome243,noderome244
cab_gpu,nodegpu201,nodegpu202,nodegpu203
cab_gpu_rhel8,nodegpu204
cbi_cpu_reserve,nodecn309
cbi_gpu_reserve,nodecn310
clc_reserve,nodecn266
compbio_tracker,nodecn201
cryo_6500_reserve,nodegpu206,nodegpu207,nodegpu208,nodegpu209
cryo_core_reserve,nodegpu205
cryo_cpu_reserve,noderome208,noderome209,noderome210,noderome211,noderome212
cryo_v100_reserve,nodecem10,nodecem11,nodecem3,nodecem4,nodecem5,nodecem6,nodecem7,nodecem8,nodecem9
dgxac03,dgxac03
dgxac04,dgxac04
dragen,dragen01,dragen02
gpu,nodegpu101,nodegpu102,nodegpu103,nodegpu104,nodegpu105,nodegpu106,nodegpu107,nodegpu108,nodegpu109,nodegpu110,nodegpu112,nodegpu113,nodegpu114,nodegpu115,nodegpu116,nodegpu117,nodegpu118,nodegpu119,nodegpu120,nodegpu121,nodegpu122,nodegpu123,nodegpu124,nodegpu125,nodegpu126,nodegpu127,nodegpu128,nodegpu129,nodegpu130,nodegpu131,nodegpu132,nodegpu133,nodegpu134,nodegpu135,nodegpu136
gpu_short_reserve,nodegpu104
hp3,nodecn201,nodecn202,nodecn203,nodecn204,nodecn205,nodecn206,nodecn207,nodecn208,nodecn209,nodecn210,nodecn211,nodecn212,nodecn213,nodecn214,nodecn215,nodecn216,nodecn217,nodecn218,nodecn219,nodecn220,nodecn221,nodecn222,nodecn223,nodecn224,nodecn225,nodecn226,nodecn227,nodecn228,nodecn229,nodecn230,nodecn231,nodecn232,nodecn233,nodecn234,nodecn235,nodecn236,nodecn237,nodecn238,nodecn239,nodecn240,nodecn241,nodecn242,nodecn243,nodecn244,nodecn245,nodecn246,nodecn247,nodecn248,nodecn251,nodecn252,nodecn253,nodecn254,nodecn255,nodecn256,nodecn257,nodecn258,nodecn259,nodecn260,nodecn261,nodecn262,nodecn263,nodecn264,nodecn265,nodecn266,nodecn267,nodecn268,nodecn269,nodecn270,nodecn271,nodecn272
hp_3t,nodelmr10,nodelmr11,nodelmr12,nodelmr13,nodelmr14,nodelmr15,nodelmr16
hpcf_test,noderome116
hpcf_test_gpu,nodegpu211
hprc_reserve,nodecn250
hp_rome_1t,noderome101,noderome102,noderome103,noderome104,noderome105,noderome106,noderome107,noderome108,noderome109,noderome110,noderome111,noderome112,noderome113,noderome114,noderome115,noderome116,noderome117,noderome118,noderome119,noderome120,noderome121,noderome122,noderome123,noderome124,noderome125,noderome126,noderome127,noderome128,noderome129,noderome130,noderome131,noderome132,noderome133,noderome134,noderome135,noderome136,noderome137,noderome138,noderome139,noderome140,noderome141,noderome142,noderome143,noderome144,noderome145,noderome146,noderome147,noderome148,noderome149,noderome150,noderome151,noderome152,noderome153,noderome154,noderome155,noderome156,noderome157,noderome158,noderome159,noderome160,noderome161,noderome162,noderome163,noderome164,noderome165,noderome166,noderome167,noderome168,noderome169,noderome170,noderome171,noderome172,noderome173,noderome174,noderome175,noderome176,noderome177,noderome178,noderome179,noderome180,noderome181,noderome182,noderome183,noderome184,noderome185,noderome186,noderome187,noderome188,noderome189,noderome190,noderome191,noderome192,noderome193,noderome194,noderome195,noderome196,noderome197,noderome198,noderome199,noderome200,noderome201,noderome202,noderome203,noderome204,noderome205,noderome206,noderome207,noderome208,noderome209,noderome210,noderome211,noderome212,noderome213,noderome214,noderome215,noderome216,noderome217,noderome218,noderome219,noderome220,noderome221,noderome222,noderome223,noderome224,noderome225,noderome226,noderome227,noderome228,noderome229,noderome230,noderome231,noderome232,noderome233,noderome234,noderome235,noderome237,noderome238,noderome239,noderome240,noderome241,noderome242,noderome243,noderome244,noderome245,noderome246,noderome247,noderome248,noderome249,noderome250,noderome251,noderome252,noderome253,noderome254,noderome255,noderome256,noderome257,noderome258,noderome259,noderome260,noderome261,noderome262,noderome263,noderome264,noderome265,noderome266,noderome267,noderome268,noderome269,noderome270,noderome271,noderome272,noderome273,noderome274,noderome275,noderome276,noderome277,noderome278,noderome279,noderome280,noderome281,noderome282,noderome283,noderome284
hp_rome_2t,noderome301,noderome302,noderome303,noderome304,noderome305,noderome306,noderome307,noderome308,noderome309,noderome310,noderome311,noderome312,noderome313,noderome314,noderome315,noderome316,noderome317,noderome318,noderome319,noderome320,noderome321,noderome322,noderome323,noderome324,noderome325,noderome326,noderome327,noderome328,noderome329,noderome330,noderome331,noderome332
interactive,nodecn202,noderome101,noderome102,noderome103
nodesd01,nodesd01
pod7_6500,nodegpu213,nodegpu214,nodegpu215,nodegpu216,nodegpu217,nodegpu218,nodegpu219,nodegpu220,nodegpu221,nodegpu222,nodegpu223,nodegpu224,nodegpu225
rhel8_test,nodecn249,nodecn251,nodecn252,nodecn253,nodecn271,noderome104,noderome105,noderome106,noderome236,noderome274,noderome314
rhel8_test_cem,nodecem2,nodegpu210
rhel8_test_gpu,nodegpu111,nodegpu117,nodegpu211,nodegpu216,nodegpu226
rhel8_test_lm,nodelmr17
